QTY,CustomerName,JobOrder,Name,DESC,LENGTH,WIDTH,THICK,WoodType,Grain,LabelImage,ProgramName,RotationStep,ProgramParameters,AdditionalMargin,Priority,OverProduction
1,biesse,bNest,WALL_PNL_G,RECT_Param,2311.4,989.01,18.05,R_W_O,0,WALL_PNL_G,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,GandA_Toekick,RECT_Param,1935.16,101.6,18.05,R_W_O,0,GandA_Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,WALL_PNL_A,RECT_Param,2311.4,962.02,18.05,R_W_O,0,WALL_PNL_A,RECTparamCLEAF.bSolid,0,0,0,0,0
4,biesse,bNest,41andHalf_HEAD_PNL,RECT_Param,304.8,1054.1,18.05,R_W_O,0,41.5_HEAD_PNL,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,WALL_PNL_B,RECT_Param,2311.4,1123.95,18.05,R_W_O,0,WALL_PNL_B,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,WALL_PNL_B_Toekick,RECT_Param,1123.95,101.6,18.05,R_W_O,0,WALL_PNL_B_Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,36andQuarter_HEAD_PNL,RECT_Param,304.8,920.75,18.05,R_W_O,0,36andQuarter_HEAD_PNL,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,WALL_PNL_C,RECT_Param,2311.4,403.22,18.05,R_W_O,0,WALL_PNL_C,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,WALL_PNL_C_Toekick,RECT_Param,403.22,101.6,18.05,R_W_O,0,WALL_PNL_C_Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,PNL_D,RECT_Param,2311.4,655.64,18.05,R_W_O,0,PNL_D,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,PNL_D_Toekick,RECT_Param,1311.27,101.6,18.05,R_W_O,0,PNL_D_Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,PNL_E,RECT_Param,2311.4,558.8,18.05,R_W_O,0,PNL_E,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,Mirror_Toekick,RECT_Param,908.05,101.6,18.05,R_W_O,0,Mirror_Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,PNL_F,RECT_Param,2311.4,203.2,18.05,R_W_O,0,PNL_F,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,HandI_PNL_Wing_Wall_Fronts,RECT_Param,2311.4,203.2,18.05,R_W_O,0,HandI_PNL_Wing_Wall_Fronts,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,HandI_Toekick_Wing_Wall_Toekicks,RECT_Param,203.2,101.6,18.05,R_W_O,0,HandI_Toekick_Wing_Wall_Toekicks,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,PNL_J_Wing_Wall_Front,RECT_Param,2311.4,193.67,18.05,R_W_O,0,PNL_J_Wing_Wall_Front,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,PNL_J_Wing_Wall_Toekicks,RECT_Param,193.67,101.6,18.05,R_W_O,0,PNL_J_Wing_Wall_Toekicks,RECTparamCLEAF.bSolid,0,0,0,0,0
4,biesse,bNest,30_PNLD_Soffit,RECT_Param,393.7,762.0,18.05,R_W_O,0,30_PNLD_Soffit,RECTparamCLEAF.bSolid,0,0,0,0,0
7,biesse,bNest,48_PNLD_Soffit,RECT_Param,393.7,1219.2,18.05,R_W_O,0,48_PNLD_Soffit,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,Concrete_Column_Back,RECT_Param,2311.4,482.6,18.05,R_W_O,0,Concrete_Column_Back,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,Concrete_Column_Toekick,RECT_Param,482.6,101.6,18.05,R_W_O,0,Concrete_Column_Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
4,biesse,bNest,DR,RECT_Param,755.65,473.07,18.05,R_W_O,0,DR,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,Fillers,RECT_Param,758.82,50.8,18.05,R_W_O,0,Fillers,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,Ends,RECT_Param,758.82,447.67,18.05,R_W_O,0,Ends,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,ADA_ENDs,RECT_Param,841.38,447.67,18.05,R_W_O,0,ADA_ENDs,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,Back,RECT_Param,758.82,954.09,18.05,R_W_O,0,Back,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,ADA_BACK,RECT_Param,841.38,954.09,18.05,R_W_O,0,ADA_BACK,RECTparamCLEAF.bSolid,0,0,0,0,0
5,biesse,bNest,TandBandAdj_Shelf,RECT_Param,915.99,447.67,18.05,R_W_O,0,TandBandAdj_Shelf,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,Non-ADA_LF_FRT_Toekick,RECT_Param,514.35,101.6,18.05,R_W_O,0,Non-ADA_LF_FRT_Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,Non-ADA_RT_FRT_Toekick,RECT_Param,474.66,101.6,18.05,R_W_O,0,Non-ADA_RT_FRT_Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,ADA_Toekick_FRT,RECT_Param,473.07,76.2,18.05,R_W_O,0,ADA_Toekick_FRT,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,ADA_STUB_Toekick_FRT,RECT_Param,50.8,101.6,18.05,R_W_O,0,ADA_STUB_Toekick_FRT,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,Toekick_FrtandBack,RECT_Param,954.09,101.6,18.05,R_W_O,0,Toekick_FrtandBack,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,Toekick_JACKS,RECT_Param,361.95,101.6,18.05,R_W_O,0,Toekick_JACKS,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,FILLER_SUPPORT,RECT_Param,758.82,155.57,18.05,R_W_O,0,FILLER_SUPPORT,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,ADA_FILLER_SUPPORT,RECT_Param,841.38,155.57,18.05,R_W_O,0,ADA_FILLER_SUPPORT,RECTparamCLEAF.bSolid,0,0,0,0,0
