No.,Description,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,FIXED_FRT_CAB_2and4,2,"20 7/8""","5 15/16""","7/8""","20 7/8""","5 15/16""","7/8""",0.8585 ft²,MDF_HIGH_POLISH_POLYURETHANE_FINISH,"","","","","",""
A,BTTM_SHELF_TOP,1,"92 15/16""","13""","3/4""","92 15/16""","13""","3/4""",8.2778 ft²,MDF_HIGH_POLISH_POLYURETHANE_FINISH,"","","","","",""
B,BTTM_SHELF_FRT,1,"90 5/8""","2""","3/4""","90 5/8""","2""","3/4""",1.2565 ft²,MDF_HIGH_POLISH_POLYURETHANE_FINISH,"","","","","",""
C,BTTM_OF_DR_CAB_2and4,2,"20 7/8""","6""","3/4""","20 7/8""","6""","3/4""",0.8721 ft²,MDF_HIGH_POLISH_POLYURETHANE_FINISH,"","","","","",""
D,TOP_OF_DR_CAB_2and4,2,"20 7/8""","5 15/16""","3/4""","20 7/8""","5 15/16""","3/4""",0.8607 ft²,MDF_HIGH_POLISH_POLYURETHANE_FINISH,"","","","","",""
E,BTTM_DWR_FRT_CAB_3,1,"15 7/8""","6""","3/4""","15 7/8""","6""","3/4""",0.6632 ft²,MDF_HIGH_POLISH_POLYURETHANE_FINISH,"","","","","",""
F,MID_DWR_FRT_CAB_3,1,"15 7/8""","5 15/16""","3/4""","15 7/8""","5 15/16""","3/4""",0.6546 ft²,MDF_HIGH_POLISH_POLYURETHANE_FINISH,"","","","","",""
G,TOP_DWR_FRT_CAB_3,1,"15 7/8""","5 15/16""","3/4""","15 7/8""","5 15/16""","3/4""",0.6528 ft²,MDF_HIGH_POLISH_POLYURETHANE_FINISH,"","","","","",""
H,BTTM_DWR_FRT_CAB_1and5,2,"15 7/16""","6""","3/4""","15 7/16""","6""","3/4""",0.6449 ft²,MDF_HIGH_POLISH_POLYURETHANE_FINISH,"","","","","",""
I,MID_DWR_FRT_CAB_1and5,2,"15 7/16""","5 15/16""","3/4""","15 7/16""","5 15/16""","3/4""",0.6365 ft²,MDF_HIGH_POLISH_POLYURETHANE_FINISH,"","","","","",""
J,TOP_DWR_FRT_CAB_1and5,2,"15 7/16""","5 15/16""","3/4""","15 7/16""","5 15/16""","3/4""",0.6349 ft²,MDF_HIGH_POLISH_POLYURETHANE_FINISH,"","","","","",""
A,BTTM_SHELF_SUBTOP,2,"92 15/16""","12 1/4""","5/8""","92 15/16""","12 1/4""","5/8""",7.8063 ft²,SHOP_PLY,"","","","","",""
A,LONG_CLEATS,2,"89""","4""","1/2""","89""","4""","1/2""",2.4722 ft²,SHOP_PLY,"","","","","",""
B,CLEAT_CABS_2and4,2,"21""","4""","1/2""","21""","4""","1/2""",0.5833 ft²,SHOP_PLY,"","","","","",""
C,CLEAT_CAB_3,1,"16""","4""","1/2""","16""","4""","1/2""",0.4444 ft²,SHOP_PLY,"","","","","",""
D,CLEAT_CABS_1and5,2,"15 1/2""","4""","1/2""","15 1/2""","4""","1/2""",0.4306 ft²,SHOP_PLY,"","","","","",""
A,ADJ_SHELF_CAB_1,1,"21 1/2""","14""","3/4""","21 1/2""","14""","3/4""",2.0903 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
B,TB_CABS_2and4,4,"19 1/2""","22 3/8""","3/4""","19 1/2""","22 3/8""","3/4""",3.0299 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
C,SINK_VALANCE,2,"19 1/2""","6 1/4""","3/4""","19 1/2""","6 1/4""","3/4""",0.8464 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
D,END,10,"18 1/4""","22 3/8""","3/4""","18 1/4""","22 3/8""","3/4""",2.8357 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
E,FILLER_SCRIBE_1_INCH,2,"18 1/4""","1/2""","3/4""","18 1/4""","1/2""","3/4""",0.0634 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
F,TB_CAB_3,2,"14 1/2""","22 3/8""","3/4""","14 1/2""","22 3/8""","3/4""",2.2530 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
G,TB_CABS_1and5,4,"14""","22 3/8""","3/4""","14""","22 3/8""","3/4""",2.1753 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
A,DWR_SIDE,12,"21""","4 1/4""","5/8""","21""","4 1/4""","5/8""",0.6198 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
B,DWR_LG_FRT_BCK,6,"12 7/8""","4 1/4""","5/8""","12 7/8""","4 1/4""","5/8""",0.3800 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
C,DWR_SML_FRT_BCK,6,"12 3/8""","4 1/4""","5/8""","12 3/8""","4 1/4""","5/8""",0.3652 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
A,DWR_BTTM_LRG,3,"20 1/4""","13 3/8""","1/2""","20 1/4""","13 3/8""","1/2""",1.8809 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
B,DWR_BTTM_SML,3,"20 1/4""","12 15/16""","1/2""","20 1/4""","12 15/16""","1/2""",1.8219 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
A,BACK_CABS_2and4,2,"21""","18 1/4""","1/4""","21""","18 1/4""","1/4""",2.6615 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
B,BACK_CAB_3,1,"18 1/4""","16""","1/4""","18 1/4""","16""","1/4""",2.0278 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
C,BACK_CABS_1and5,2,"18 1/4""","15 1/2""","1/4""","18 1/4""","15 1/2""","1/4""",1.9644 ft²,WHT_MELAMINE_AM_LAM_WHT,"","","","","",""
